Case ID,Field,Annotator A,Annotator B,Source Link(s) / Citation(s)
89,Impact Dimension(s),Physical safety / health; Environmental; Service / operational,Physical safety / health; Reputational / trust,https://incidentdatabase.ai/cite/290
89,Recovery / Maintenance Action(s),Model retraining/revalidation,Model retraining/revalidation; Monitoring/drift-detection addition; Downstream validation addition,https://incidentdatabase.ai/cite/290
89,Causal Location(s),Data; Model; Human/Organizational Governance,Model; Integration/Interface,https://incidentdatabase.ai/cite/290
90,System Type,Decision-Support/Optimization System,Composite/Multi-System AI,https://incidentdatabase.ai/cite/1046
90,Failure Mode(s),Bias & Discrimination; Information Quality/Input Handling Failure,Bias & Discrimination; Capability Limitation,https://incidentdatabase.ai/cite/1046
90,Impact Dimension(s),Civil rights / fairness / access; Financial / economic; Service / operational,Financial / economic; Civil rights / fairness / access; Security / abuse,https://incidentdatabase.ai/cite/1046
90,Recovery / Maintenance Action(s),Model/subsystem replacement; Affected-case review/redress; Organizational/process change,Data correction; Model retraining/revalidation; Affected-case review/redress,https://incidentdatabase.ai/cite/1046
90,Causal Location(s),Data; Model; Integration/Interface,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/1046
91,Recovery Complexity,High,Very High,https://incidentdatabase.ai/cite/1433
91,Manifestation Pattern,Human override / oversight failure,Service disruption / unavailability,https://incidentdatabase.ai/cite/1433
91,Failure Mode(s),Design/Implementation Defect,Safety Validation/Oversight Gap,https://incidentdatabase.ai/cite/1433
91,Impact Dimension(s),Service / operational; Financial / economic,Service / operational; Financial / economic; Reputational / trust,https://incidentdatabase.ai/cite/1433
91,Recovery / Maintenance Action(s),Affected-case review/redress; Software/pipeline repair; Fallback/human-escalation addition,Software/pipeline repair; Fallback/human-escalation addition; Downstream validation addition,https://incidentdatabase.ai/cite/1433
91,Causal Location(s),Software/Implementation; Human/Organizational Governance,Software/Implementation; Integration/Interface,https://incidentdatabase.ai/cite/1433
92,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/1109
92,System Type,Moderation/Filtering/Detection System,Surveillance/Identification System,https://incidentdatabase.ai/cite/1109
92,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/1109
92,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/1109
92,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/1109
92,Failure Mode(s),Data/Domain Shift,Capability Limitation,https://incidentdatabase.ai/cite/1109
92,Recovery / Maintenance Action(s),Threshold/configuration adjustment; Monitoring/drift-detection addition; Fallback/human-escalation addition,Threshold/configuration adjustment; Interface/workflow/component modification; Organizational/process change,https://incidentdatabase.ai/cite/1109
92,Causal Location(s),Data; Model,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/1109
93,Industry,Social Media & Platforms,Technology & AI Services,https://incidentdatabase.ai/cite/1039
93,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/1039
93,Temporal Pattern,Single event,Recurring incidents,https://incidentdatabase.ai/cite/1039
93,Recovery / Maintenance Action(s),Policy/governance change,Local rollback/content correction; Downstream validation addition; Fallback/human-escalation addition,https://incidentdatabase.ai/cite/1039
93,Causal Location(s),Model; Integration/Interface; Human/Organizational Governance,Model; Integration/Interface,https://incidentdatabase.ai/cite/1039
94,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/981
94,Risk Domain,Information Integrity & Content Harm,"Social, Psychological & Trust",https://incidentdatabase.ai/cite/981
94,Temporal Pattern,Recurring incidents,Single event,https://incidentdatabase.ai/cite/981
94,Failure Mode(s),Representation/Low-Resource Gap,Information Quality/Input Handling Failure,https://incidentdatabase.ai/cite/981
94,Impact Dimension(s),Information integrity; Psychological / social; Reputational / trust,Service / operational; Reputational / trust; Education / employment,https://incidentdatabase.ai/cite/981
94,Recovery / Maintenance Action(s),Model retraining/revalidation,Model retraining/revalidation; Local rollback/content correction; Downstream validation addition,https://incidentdatabase.ai/cite/981
94,Causal Location(s),Data; Model,Model,https://incidentdatabase.ai/cite/981
95,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/934
95,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/934
95,Detector,Operator,Organization,https://incidentdatabase.ai/cite/934
95,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/934
95,Failure Mode(s),Data/Domain Shift,Information Quality/Input Handling Failure,https://incidentdatabase.ai/cite/934
95,Impact Dimension(s),Information integrity; Service / operational; Reputational / trust,Financial / economic; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/934
95,Recovery / Maintenance Action(s),Service suspension/retirement; Downstream validation addition,Service suspension/retirement; Downstream validation addition; Organizational/process change,https://incidentdatabase.ai/cite/934
95,Causal Location(s),Data; Model; Human/Organizational Governance,Data; Model; Operational Process,https://incidentdatabase.ai/cite/934
96,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/885
96,Manifestation Pattern,Biased / disparate decision,Multiple - specify,https://incidentdatabase.ai/cite/885
96,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/885
96,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/885
96,Impact Dimension(s),Civil rights / fairness / access; Psychological / social; Reputational / trust,Civil rights / fairness / access; Psychological / social; Privacy / data protection,https://incidentdatabase.ai/cite/885
96,Recovery / Maintenance Action(s),Model retraining/revalidation; Policy/governance change; Fallback/human-escalation addition,Local rollback/content correction; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/885
96,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/885
97,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/860
97,Risk Assessment,High,Moderate,https://incidentdatabase.ai/cite/860
97,System Type,Surveillance/Identification System,Moderation/Filtering/Detection System,https://incidentdatabase.ai/cite/860
97,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/860
97,Failure Mode(s),Representation/Low-Resource Gap,Capability Limitation,https://incidentdatabase.ai/cite/860
97,Impact Dimension(s),Civil rights / fairness / access; Financial / economic; Legal / regulatory,Financial / economic; Legal / regulatory; Reputational / trust,https://incidentdatabase.ai/cite/860
97,Recovery / Maintenance Action(s),Affected-case review/redress; Policy/governance change,Affected-case review/redress; Threshold/configuration adjustment; Organizational/process change,https://incidentdatabase.ai/cite/860
97,Causal Location(s),Data; Model; Human/Organizational Governance,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/860
98,Risk Domain,Safety & Health,Information Integrity & Content Harm,https://incidentdatabase.ai/cite/827
98,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/827
98,Impact Dimension(s),Physical safety / health; Information integrity; Civil rights / fairness / access,Physical safety / health; Information integrity; Reputational / trust,https://incidentdatabase.ai/cite/827
98,Recovery / Maintenance Action(s),Model retraining/revalidation; Downstream validation addition; Organizational/process change,Model retraining/revalidation; Downstream validation addition; Fallback/human-escalation addition,https://incidentdatabase.ai/cite/827
99,Failure Category,Operational,Distributional,https://incidentdatabase.ai/cite/748
99,Risk Domain,Information Integrity & Content Harm,Financial & Economic Harm,https://incidentdatabase.ai/cite/748
99,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/748
99,Failure Mode(s),Information Quality/Input Handling Failure,Hallucination/Confabulation,https://incidentdatabase.ai/cite/748
99,Impact Dimension(s),Information integrity; Psychological / social; Reputational / trust,Financial / economic; Service / operational; Reputational / trust,https://incidentdatabase.ai/cite/748
99,Recovery / Maintenance Action(s),Local rollback/content correction; Data correction,Downstream validation addition; Fallback/human-escalation addition; Local rollback/content correction,https://incidentdatabase.ai/cite/748
99,Causal Location(s),Data; Integration/Interface,Model; Integration/Interface,https://incidentdatabase.ai/cite/748
100,System Type,Decision-Support/Optimization System,Classification/Recognition System,https://incidentdatabase.ai/cite/1103
100,Manifestation Pattern,Multiple - specify,Incorrect score / prediction / allocation,https://incidentdatabase.ai/cite/1103
100,Risk Domain,Service Reliability & Operations,"Legal, Regulatory & Governance",https://incidentdatabase.ai/cite/1103
100,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/1103
100,Failure Mode(s),Hallucination/Confabulation; Information Quality/Input Handling Failure,Hallucination/Confabulation; Safety Validation/Oversight Gap,https://incidentdatabase.ai/cite/1103
100,Impact Dimension(s),Service / operational; Civil rights / fairness / access; Reputational / trust,Service / operational; Financial / economic; Legal / regulatory,https://incidentdatabase.ai/cite/1103
100,Recovery / Maintenance Action(s),Model/subsystem replacement; Affected-case review/redress; Policy/governance change,Affected-case review/redress; Downstream validation addition; Policy/governance change,https://incidentdatabase.ai/cite/1103
100,Causal Location(s),Data; Model; Integration/Interface,Model; Software/Implementation; Human/Organizational Governance,https://incidentdatabase.ai/cite/1103
